CustomerID,CustomerTypeID,CustomerRelationshipTypeID,DateOfBirth,CustomerEstablishedDate,IsActive,FirstName,LastName,Gender,PrimaryPhone,SecondaryPhone,PrimaryEmail,SecondaryEmail,CreatedBy
CID-090,Individual,Standard,12/25/1982,2/26/2018,TRUE,Liam,Davis,Male,(808) 555-0115,,liam@contoso.com,,Services
CID-091,Individual,Standard,6/22/1984,8/19/2021,TRUE,Benito,Dellucci,Male,(603) 555-0168,(339) 555-0253,benito@contoso.com,,Sales
CID-092,Business,SMB,10/8/1966,4/1/2021,TRUE,Merve,Demir,Female,(254) 555-0144,(239) 555-0246,merve@contoso.com,,Services
CID-093,Business,SMB,2/1/1966,1/19/2018,TRUE,Isabelle,Deniger,Female,(931) 555-0186,(712) 555-0254,isabelle@contoso.com,,Sales
CID-094,Individual,Standard,1/13/1986,10/25/2021,TRUE,Montserrat,Desriols,Female,(267) 555-0112,(334) 555-0229,montserrat@contoso.com,montserrat@fabrikam.com,Sales
CID-095,Business,SMB,7/2/1977,9/21/2018,TRUE,Esteve,Desvalls,Male,(804) 555-0199,,esteve@contoso.com,,Sales
CID-096,Individual,Premium,10/18/1932,3/4/2020,TRUE,Gabriel,Diaz,Male,(231) 555-0151,,gabriel@contoso.com,,Sales
CID-097,Individual,Premium,7/12/1957,4/23/2018,TRUE,Vlasta,Divisova,Female,(817) 555-0118,,vlasta@contoso.com,,Services
CID-098,Individual,Standard,3/27/1988,9/12/2021,TRUE,Fadime,Dogan,Female,(281) 555-0169,,fadime@contoso.com,,Sales
CID-099,Individual,Premium,9/7/1993,6/26/2019,TRUE,Rene,Dolejsi,Female,(508) 555-0178,,rene@contoso.com,,Sales
CID-100,Individual,Premium,2/12/1958,10/9/2019,TRUE,Albert,Dubois,Male,(606) 555-0108,,albert@contoso.com,,Sales
CID-101,Individual,Standard,12/30/1949,8/2/2019,TRUE,Maciej,Dudek,Male,(970) 555-0103,,maciej@contoso.com,,Services
CID-102,Individual,VIP,11/7/1952,12/24/2020,TRUE,Ewa,Dudzinska,Female,(314) 555-0181,,ewa@contoso.com,,Sales
CID-103,Individual,VIP,4/6/1983,8/8/2021,TRUE,Daina,Dumina,Male,(206) 555-0119,,daina@contoso.com,,Sales
CID-104,Individual,Standard,3/31/1973,1/25/2018,FALSE,Laimonis,Dumins,Male,(530) 555-0174,,laimonis@contoso.com,,Sales
CID-105,Government,Local,11/18/1957,1/1/2018,TRUE,Audrey,Dumoulin,Female,(631) 555-0121,,audrey@contoso.com,,Services
CID-106,Individual,Premium,12/13/1976,6/29/2020,TRUE,Coralie,Duperre,Female,(972) 555-0176,,coralie@contoso.com,,Sales
CID-107,Individual,Premium,10/19/1948,2/6/2018,TRUE,Aline,Dupuy,Female,(571) 555-0194,,aline@contoso.com,aline@fabrikam.com,Sales
CID-108,Business,SMB,8/29/1942,5/21/2018,TRUE,Dominique,Dutertre,Male,(567) 555-0167,,dominique@contoso.com,,Sales
CID-109,Individual,Standard,3/12/1967,10/10/2019,TRUE,Zdenek,Dvorak,Male,(605) 555-0193,(321) 555-0243,zdenek@contoso.com,,Sales
CID-110,Individual,Standard,3/22/1981,7/7/2018,TRUE,Niks,Dzenis,Female,(619) 555-0134,(505) 555-0200,niks@contoso.com,,Sales
CID-111,Individual,Premium,11/3/1958,2/25/2021,TRUE,Logan,Edwards,Male,(716) 555-0130,,logan@contoso.com,,Services
CID-112,Individual,Premium,3/29/1948,1/1/2018,TRUE,Simons,Eglitis,Female,(432) 555-0152,,simons@contoso.com,,Sales
CID-113,Government,Local,1/7/1984,7/1/2019,TRUE,Werner,Eitner,Male,(970) 555-0165,(702) 555-0200,werner@contoso.com,,Services
CID-114,Business,SMB,5/31/1969,7/13/2018,TRUE,Daniel,Elfyn,Male,(714) 555-0109,(218) 555-0260,daniel@contoso.com,,Sales
CID-115,Individual,Premium,4/5/1975,12/4/2019,TRUE,Bethan,Elis,Female,(559) 555-0165,,bethan@contoso.com,,Sales
CID-116,Business,SMB,4/28/1955,4/14/2018,TRUE,Turgay,Elmas,Male,(929) 555-0195,(339) 555-0299,turgay@contoso.com,,Sales
CID-117,Business,SMB,3/9/1950,7/12/2021,TRUE,Elke,Endemann,Female,(601) 555-0115,,elke@contoso.com,elke@fabrikam.com,Sales
CID-118,Individual,Premium,2/4/1946,3/12/2020,TRUE,YishaK,Epherem,Male,(859) 555-0130,,yishak@contoso.com,,Sales
CID-119,Business,Premier,4/6/1965,7/30/2020,TRUE,Tatjana,Erjavec,Female,(479) 555-0187,,tatjana@contoso.com,tatjana@fabrikam.com,Services
CID-120,Individual,Premium,3/26/1948,1/4/2018,TRUE,Quarantino,Esposito,Male,(551) 555-0110,,quarantino@contoso.com,,Sales
CID-121,Business,SMB,3/13/1934,2/18/2019,TRUE,Jamie,Evans,Female,(205) 555-0170,(480) 555-0278,jamie@contoso.com,,Services
CID-122,Business,SMB,1/3/1978,10/13/2021,TRUE,Giselle,Faber,Female,(432) 555-0180,,giselle@contoso.com,,Sales
CID-123,Individual,Standard,7/10/1963,1/3/2021,TRUE,Giorgia,Fanucci,Female,(810) 555-0174,,giorgia@contoso.com,,Sales
CID-124,Individual,Premium,2/23/1985,10/10/2021,TRUE,Amleset,Fitwi,Female,(310) 555-0191,,amleset@contoso.com,,Sales
CID-125,Individual,Standard,9/30/1961,6/28/2020,TRUE,Annette,Flamand,Female,(704) 555-0170,,annette@contoso.com,,Sales
CID-126,Individual,Standard,8/7/1952,7/7/2018,TRUE,Elizabeth,Flores,Female,(478) 555-0123,,elizabeth@contoso.com,,Sales
CID-127,Business,SMB,7/6/1997,8/6/2021,TRUE,Sara,Folgueroles,Female,(909) 555-0118,,sara@contoso.com,,Sales
CID-128,Business,SMB,9/28/1974,2/14/2018,TRUE,Carme,Fontbernat,Female,(985) 555-0149,(407) 555-0211,carme@contoso.com,,Sales
CID-129,Individual,Standard,5/31/1962,3/24/2018,TRUE,Michal,Formanek,Male,(657) 555-0174,,michal@contoso.com,,Sales
CID-130,Individual,Standard,8/4/1987,2/20/2021,TRUE,Renata,Fuchsova,Female,(725) 555-0111,,renata@contoso.com,,Sales
CID-131,Individual,Standard,11/10/1931,12/24/2018,TRUE,Isabel,Garcia,Female,(725) 555-0126,,isabel@contoso.com,,Sales
CID-132,Individual,Standard,10/29/1985,12/25/2020,TRUE,Amelie,Garner,Female,(706) 555-0165,(323) 555-0269,amelie@contoso.com,,Sales
CID-133,Individual,VIP,9/1/1969,7/24/2020,TRUE,Niklas,Gasper,Male,(601) 555-0101,,niklas@contoso.com,,Services
CID-134,Individual,Premium,11/12/1991,1/10/2019,TRUE,Hiwot,Gebre Gergis,Female,(706) 555-0129,(435) 555-0222,hiwot@contoso.com,,Sales
CID-135,Government,State,12/25/1979,6/11/2018,TRUE,Aberehet,Gebre Tsadik,Female,(410) 555-0137,,aberehet@contoso.com,,Services
CID-136,Individual,Premium,5/12/1952,11/4/2021,TRUE,Lelia,Genovese,Female,(952) 555-0124,(307) 555-0226,lelia@contoso.com,,Sales
CID-137,Individual,Premium,8/12/1950,10/18/2019,TRUE,Wolde Mariam,Girmay,Male,(434) 555-0109,,wolde mariam@contoso.com,,Sales
CID-138,Business,SMB,6/12/1952,10/13/2021,TRUE,Meaza,Goitom,Female,(985) 555-0196,(484) 555-0254,meaza@contoso.com,,Sales
CID-139,Individual,Premium,2/14/1979,4/26/2021,TRUE,Milan,Golob,Male,(304) 555-0146,,milan@contoso.com,,Services
CID-140,Government,State,4/26/1962,11/18/2018,TRUE,Mateo,Gomez,Male,(860) 555-0179,,mateo@contoso.com,,Services
CID-141,Government,State,6/5/1964,3/26/2019,TRUE,Aaron,Gonzales,Male,(843) 555-0121,(319) 555-0296,aaron@contoso.com,,Services
CID-142,Individual,Standard,1/17/1941,11/2/2020,TRUE,Kasper,Graf,Male,(712) 555-0183,,kasper@contoso.com,,Sales
CID-143,Individual,Standard,10/20/1987,7/3/2018,TRUE,Fiamma,Greco,Female,(856) 555-0126,,fiamma@contoso.com,,Sales
CID-144,Individual,Standard,11/11/1922,4/21/2018,TRUE,Manon,Griffiths,Female,(303) 555-0179,,manon@contoso.com,,Sales
CID-145,Individual,Standard,2/25/1974,5/23/2019,TRUE,Jacqueline,Grondin,Female,(626) 555-0131,,jacqueline@contoso.com,,Sales
CID-146,Individual,Premium,11/18/1952,8/6/2021,FALSE,Marta,Guanyavents,Female,(417) 555-0165,,marta@contoso.com,marta@fabrikam.com,Sales
CID-147,Individual,Premium,4/23/1961,10/22/2018,TRUE,Louisa,Guenther,Female,(214) 555-0139,,louisa@contoso.com,,Sales
CID-148,Individual,Standard,4/16/1954,6/22/2020,FALSE,Charlie,Guibord,Male,(380) 555-0175,,charlie@contoso.com,,Sales
CID-149,Individual,VIP,8/18/1923,5/23/2021,TRUE,Ayse,Guler,Female,(740) 555-0109,,ayse@contoso.com,,Sales
CID-150,Individual,Premium,6/5/1991,8/31/2020,TRUE,Meltem,Gumus,Female,(812) 555-0147,,meltem@contoso.com,,Services
CID-151,Government,Local,2/1/1931,9/24/2019,TRUE,Faruk,Gunes,Male,(934) 555-0138,,faruk@contoso.com,,Services
CID-152,Individual,Standard,11/10/1973,11/16/2020,TRUE,Halit,Gungor,Male,(330) 555-0165,,halit@contoso.com,,Sales
CID-153,Individual,Standard,1/26/1981,1/3/2020,TRUE,Killian,Gunther,Male,(518) 555-0135,,killian@contoso.com,,Sales
CID-154,Individual,Standard,1/12/1959,6/8/2021,TRUE,Tito,Guzmán,Male,(619) 555-0156,,tito@contoso.com,,Sales
CID-155,Government,Local,4/1/1974,11/17/2018,TRUE,Renata,Hall,Female,(404) 555-0165,,renata@contoso.com,renata@fabrikam.com,Services
CID-156,Individual,Standard,5/16/1968,7/1/2020,TRUE,Frantisek,Hanak,Male,(954) 555-0114,,frantisek@contoso.com,,Sales
CID-157,Individual,Standard,12/2/1973,6/10/2021,TRUE,Jacob,Hancock,Male,(214) 555-0127,,jacob@contoso.com,,Sales
CID-158,Business,SMB,9/1/1940,3/13/2019,TRUE,Daniela,Hanzlova,Female,(520) 555-0123,,daniela@contoso.com,,Sales
CID-159,Individual,VIP,9/21/1951,2/20/2020,TRUE,Libby,Harrison,Female,(501) 555-0177,,libby@contoso.com,libby@fabrikam.com,Sales
CID-160,Business,SMB,11/4/1958,11/27/2021,TRUE,Maja,Hartmann,Female,(603) 555-0187,,maja@contoso.com,,Sales
CID-161,Individual,Premium,4/6/1961,12/12/2020,FALSE,Marta,Havrankova,Female,(626) 555-0157,,marta@contoso.com,,Sales
CID-162,Individual,Standard,2/13/1965,8/29/2021,TRUE,Hannah,Haynes,Female,(608) 555-0169,,hannah@contoso.com,,Sales
CID-163,Individual,VIP,11/1/1980,7/28/2021,TRUE,Josephine,Hebert,Female,(270) 555-0144,(435) 555-0273,josephine@contoso.com,josephine@fabrikam.com,Sales
CID-164,Individual,Standard,9/21/1992,12/27/2019,TRUE,Jule,Heinrich,Female,(231) 555-0177,,jule@contoso.com,,Sales
CID-165,Individual,Standard,10/7/1987,1/31/2018,TRUE,Detlef,Hembrock,Male,(540) 555-0179,,detlef@contoso.com,,Services
CID-166,Business,Partner,12/29/1980,12/3/2018,TRUE,Felix,Henderson,Male,(786) 555-0195,,felix@contoso.com,,Sales
CID-167,Individual,VIP,1/3/1950,7/2/2018,TRUE,Briana,Hernandez,Female,(630) 555-0119,,briana@contoso.com,,Sales
CID-168,Individual,Premium,11/3/1973,11/12/2020,TRUE,Coralie,Hetu,Female,(224) 555-0137,,coralie@contoso.com,,Sales
CID-169,Individual,Standard,10/2/1985,6/28/2019,TRUE,Ana,Hocevar,Female,(725) 555-0122,,ana@contoso.com,,Services
CID-170,Individual,Standard,5/26/1996,1/2/2021,TRUE,Vaclav,Holy,Male,(517) 555-0115,,vaclav@contoso.com,vaclav@fabrikam.com,Sales
CID-171,Individual,Premium,6/28/1944,10/30/2020,TRUE,Tereza,Horackova,Female,(714) 555-0168,,tereza@contoso.com,,Sales
CID-172,Individual,VIP,9/12/1973,10/22/2019,TRUE,Janez,Horvat,Male,(607) 555-0177,(714) 555-0257,janez@contoso.com,janez@fabrikam.com,Sales
CID-173,Individual,Premium,5/15/1951,6/9/2018,TRUE,Karel,Hovorka,Male,(817) 555-0194,(978) 555-0270,karel@contoso.com,,Sales
CID-174,Individual,Premium,11/16/1984,11/3/2020,TRUE,Avery,Howard,Female,(762) 555-0169,,avery@contoso.com,,Sales
CID-175,Individual,Standard,2/12/1953,4/16/2021,TRUE,Jarmila,Hrdlickova,Female,(414) 555-0113,(937) 555-0262,jarmila@contoso.com,,Sales
CID-176,Individual,Premium,5/23/1933,2/16/2019,TRUE,Aljosa,Hribar,Female,(734) 555-0145,,aljosa@contoso.com,aljosa@fabrikam.com,Sales
CID-177,Individual,Standard,5/28/1983,10/8/2020,TRUE,Andreja,Hrovat,Female,(970) 555-0114,,andreja@contoso.com,,Sales
CID-178,Individual,Standard,11/19/1942,2/22/2018,TRUE,Jose,Huaman,Male,(307) 555-0116,,jose@contoso.com,,Sales
CID-179,Government,Local,6/19/1978,2/12/2019,TRUE,Shawn,Hughes,Male,(650) 555-0153,,shawn@contoso.com,,Services
CID-180,Individual,Premium,5/20/1995,4/26/2020,TRUE,Aidan,Hunt,Male,(307) 555-0197,(303) 555-0244,aidan@contoso.com,aidan@fabrikam.com,Sales
CID-181,Individual,Standard,12/3/1970,11/11/2020,TRUE,Cai,Huws,Male,(910) 555-0126,,cai@contoso.com,cai@fabrikam.com,Sales
CID-182,Individual,Standard,4/30/1957,11/19/2020,FALSE,Vlastimil,Hybl,Male,(470) 555-0177,(435) 555-0216,vlastimil@contoso.com,,Services
CID-183,Government,State,4/26/1950,12/4/2019,TRUE,Gerolamo,Iadanza,Male,(305) 555-0196,(559) 555-0295,gerolamo@contoso.com,,Services
CID-184,Business,SMB,7/31/1988,9/17/2018,TRUE,Christiane,Ingenpass,Female,(859) 555-0130,,christiane@contoso.com,,Sales
CID-185,Individual,Premium,7/31/1960,5/13/2021,TRUE,Jessie,Irwin,Male,(929) 555-0191,(571) 555-0267,jessie@contoso.com,jessie@fabrikam.com,Sales
CID-186,Individual,Standard,10/24/1957,12/18/2020,TRUE,Anthony,Ivanov,Male,(409) 555-0153,,anthony@contoso.com,,Sales
CID-187,Business,SMB,6/7/1942,2/15/2020,TRUE,Abigail,Jackson,Female,(717) 555-0186,(430) 555-0239,abigail@contoso.com,,Services
CID-188,Individual,Premium,8/13/1955,11/1/2020,TRUE,Alena,Jankova,Female,(970) 555-0139,,alena@contoso.com,,Sales
